127.0.0.1 - - [23/Oct/2020:10:58:04 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:58:09 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:58:10 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:58:10 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:58:21 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [23/Oct/2020:11:29:37 +0200] "GET /Oblig2Services/ HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:11:29:37 +0200] "GET /Oblig2Services/axis2-web/css/axis-style.css HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [23/Oct/2020:11:29:37 +0200] "GET /Oblig2Services/axis2-web/images/asf-logo.gif HTTP/1.1" 200 5866
0:0:0:0:0:0:0:1 - - [23/Oct/2020:11:29:37 +0200] "GET /Oblig2Services/axis2-web/images/axis_l.jpg HTTP/1.1" 200 12340
0:0:0:0:0:0:0:1 - - [23/Oct/2020:11:29:37 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Oct/2020:11:29:39 +0200] "GET /Oblig2Services/services/listServices HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [23/Oct/2020:11:29:41 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [23/Oct/2020:12:09:48 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [23/Oct/2020:12:09:48 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:12:09:48 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:12:09:58 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 500 2196
0:0:0:0:0:0:0:1 - - [23/Oct/2020:12:12:36 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [23/Oct/2020:12:12:36 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:12:12:36 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:12:12:46 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:35:38 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:35:38 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:35:38 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:35:38 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 500 582
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:36:04 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:36:04 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:36:04 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:36:04 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 500 582
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:37:11 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:37:12 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:37:12 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:37:31 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:37:31 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:37:31 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:37:31 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:44 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:44 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:44 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:44 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:52 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:52 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:52 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:52 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:28 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
